steps,2016preVFP,2016preVFP_err,2016,2016_err,2017,2017_err,2018,2018_err
"0.0","0,0239000","0,0015270","0,0239000","0,0015270","0,0239000","0,0015270","0,0239000","1,53E-03"
"1.0","0,0053681","0,0000470","0,0093377","0,0000944","0,0046535","0,0000470","0,0072875","6,02E-05"
"2.0","0,0010157","0,0000405","0,0020526","0,0000441","0,0023159","0,0000405","0,0033709","4,09E-05"
"3.0","0,0000000","0,0000000","0,0000000","0,0000000","0,0000000","0,0000000","0,0000000","0,0000000"
"4.0","0,0000000","0,0000000","0,0000000","0,0000000","0,0000000","0,0000000","0,0000000","0,0000000"
